카드이름,은행,이미지URL,전월실적,연회비,카드종류,혜택
#Pay 신한카드,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/2258/card_img/21008/2258card.png,300000,"국내전용 [27,000]원 / 해외겸용 [30,000]원",신용,"{'간편결제': '7개 간편결제 이용 시 국내 거래에서 5% 마이신한포인트 적립.', '기타 혜택(유의사항 등)': '#Pay 신한카드는 전월 이용금액에 따라 최대 3만 포인트까지 적립 가능하며, 특정 거래는 적립 제외됩니다.'}"
the Green Edition3,현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2753/card_img/36948/2753card_2.png,500000,"국내전용 [150,000]원 / 해외겸용 [150,000]원",신용,"{'프리미엄': '메탈 플레이트 제공, 발급 수수료 10만원 또는 10만 M포인트 필요.', '기타 혜택(유의사항 등)': '국내외 가맹점 1.5% M포인트 적립, 여행 및 해외 영역 5% 적립, M 긴급적립 서비스 제공, 공항 라운지 연간 5회 무료 이용 및 발레파킹 무료 이용 혜택.'}"
신한카드 The CLASSIC+,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/15/card_img/20097/15card.png,300000,"해외겸용 [120,000]원",신용,"{'주유': 'GS칼텍스 주유 시 리터당 40원 할인, 월 40만원까지 적용.', '카페/디저트': '스타벅스에서 7,000원 이상 구매 시 3,000원 할인, 월 1회, 연 6회 제공.', '항공마일리지': '대한항공 또는 아시아나항공 마일리지 적립 서비스로, 전월 이용금액에 따라 기본 및 추가 마일리지 적립이 제공됩니다.', '공항라운지/PP': 'The CLASSIC+ 아멕스 Platinum카드로 전세계 1,200여개 해외 공항 VIP라운지를 무료 이용할 수 있습니다.', '기타 혜택(유의사항 등)': 'The CLASSIC+ 카드로 매년 1회 선택 가능한 Gift Option 서비스 제공 (신세계 상품권, 패밀리 레스토랑 이용권, LG전자 이용권, 호텔 통합 이용권, 마이신한포인트).'}"
스카이패스 티타늄 카드,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/2327/card_img/24806/2327card.png,0,"국내전용 [45,000]원 / 해외겸용 [45,000]원",신용,"{'공항라운지/PP': '공항 라운지 무료 이용 서비스 연 2회 제공 (본인 + 가족카드 합산, 전월 30만원 이상 이용 시).', '프리미엄': '프리미엄 마스터카드는 국내 특급호텔 할인, 여행 예약 시 추가 할인, 골프장 및 라이프 서비스 할인, 쇼핑 포인트 적립 혜택을 제공합니다.', '해외': '해외 이용 시 대한항공 1마일 추가 적립, 총 2마일 적립.', '기타 혜택(유의사항 등)': '대한항공 1마일 기본 적립(1천원당 1마일, 월 5천마일 한도), 면세점에서 추가 1마일 적립, 인천공항 및 국내 호텔에서 무료 발레파킹 서비스 제공(월 3회, 연 12회, 전월 30만원 이상 이용 시).'}"
트레이더스신세계 삼성카드,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/72/card_img/27714/72card.png,400000,"국내전용 [15,000]원 / 해외겸용 [15,000]원",신용,"{'통신': '이동통신 요금 자동납부 시 5% 청구할인 제공, 전월 이용금액 40만원 이상 시 월 최대 5,000원 할인.', '마트/편의점': '트레이더스에서 결제 시 전월 이용금액에 따라 1%~5% 청구할인 제공, 월 할인한도는 최대 50,000원.', '카페/디저트': '커피전문점에서 5% 결제일 할인(청구할인), 월 최대 5,000원 한도, 전월 이용금액 40만원 이상 시 제공.', '병원/약국': '병원과 약국에서 전월 이용금액에 따라 최대 10,000원의 할인 혜택을 제공합니다.', '교육/육아': '학원, 서점, 학습지, 인터넷강의 결제 시 5% 청구할인 제공 (전월 이용금액 40만원 이상 시).', '기타 혜택(유의사항 등)': '신세계백화점에서 5% 전자할인쿠폰, 무료주차권 제공 및 1,000원당 2 포인트 적립.'}"
BC 바로 MACAO 카드,BC 바로카드,https://d1c5n4ri2guedi.cloudfront.net/card/2728/card_img/36134/2728card.png,300000,"국내전용 [12,000]원 / 해외겸용 [12,000]원",신용,"{'주유': '모든 주유소에서 주유량에 따라 최대 10% 할인 제공.', '마트/편의점': '대형마트에서 장보기 시 결제 금액에 따라 최대 10% 할인 혜택 제공.', '프리미엄': '해외겸용 카드에 MasterCard Platinum/VISA Platinum 기본 서비스 제공, 해외 결제 시 수수료 발생.', '해외': '해외 전 가맹점에서 전월 실적, 한도 없이 2% 할인 제공.', '기타 혜택(유의사항 등)': '카드 이용 시 전월 30만원 이상 시 주유/장보기 할인 최대 5만원 제공.'}"
K-패스 삼성카드,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/2558/card_img/33441/2558card.png,400000,"국내전용 [10,000]원 / 해외겸용 [10,000]원",신용,"{'교통': '대중교통 이용 시 10% 할인 및 K-패스 마일리지 적립 혜택 제공.', '쇼핑': '온라인쇼핑 3% 할인, 전월 이용금액에 따라 최대 8,000원 할인.', '카페/디저트': '커피전문점에서 20% 할인, 전월 이용금액에 따라 최대 8,000원 할인.', '기타 혜택(유의사항 등)': '디지털 콘텐츠 및 멤버십 정기결제 시 최대 20% 할인 제공.'}"
삼성카드 BIZ LEADERS,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/780/card_img/28070/780card.png,0,"국내전용 [20,000]원 / 해외겸용 [20,000]원",신용,"{'기타 혜택(유의사항 등)': '- 국내외 가맹점 0.5% 할인, 온라인쇼핑몰·주유·할인점 3% 할인, 4대 사회보험·손해보험·전기요금·이동통신·인터넷 10% 할인, 4대 사회보험 자동납부 시 납부대행수수료 0.8% 할인 제공.'}"
삼성 BIZ iD BENEFIT카드,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/2324/card_img/28095/2324card.png,300000,"국내전용 [30,000원] / 해외겸용[30,000원]",신용,"{'공과금/렌탈': '부가세환급 편의지원서비스와 전자세금계산서 월 250건 무료 제공.', '비즈니스': '사업 필수 경비에 대해 1.5% 결제일 할인이 제공되며, 통합 월 할인한도는 30만원입니다.', '기타 혜택(유의사항 등)': '국내 가맹점에서 결제 시 0.5% 할인, 사업 운영 지원 항목에서 3% 할인 제공.'}"
MG+ W 하나카드,MG새마을금고,https://d1c5n4ri2guedi.cloudfront.net/card/2909/card_img/44926/2909card.png,300000,"국내전용 [19,000]원 / 해외겸용 [19,000]원",신용,"{'쇼핑': '홈쇼핑, 이마트, 롯데마트, 홈플러스, 올리브영, 다이소에서 5% 청구할인 제공.', '병원/약국': '병원 및 약국 업종에서 5% 청구할인 제공.', '레저/스포츠': '레저/스포츠 업종에서 5% 청구할인 제공.', '기타 혜택(유의사항 등)': '입시/보습학원 등에서 5% 청구할인 제공, 매월 최초 결제 건에 한해 1회 할인.'}"
신한카드 Air Platinum#,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/12/card_img/20094/12card.png,0,"해외겸용 [40,000]원",신용,"{'항공마일리지': '대한항공 또는 아시아나항공 마일리지를 적립할 수 있으며, 대한항공은 1,500원당 1마일, 아시아나항공은 1,000원당 1마일이 적립됩니다.', '프리미엄': '특급 호텔 발렛파킹 및 면세점 우대 서비스 제공.', '기타 혜택(유의사항 등)': '마이신한포인트 적립: 실내/실외 골프장 1%, 해외가맹점 1%, S-OIL/현대오일뱅크 리터당 60포인트, 주요 패션/요식 거리 2% 적립.'}"
JADE First Centum,하나카드,https://d1c5n4ri2guedi.cloudfront.net/card/2705/card_img/34596/2705card_1.png,500000,"국내전용 [995,000]원 / 해외겸용 [1,000,000]원",신용,"{'자동차/하이패스': '주유 리터당 200하나머니 및 EV충전 50% 적립, 월 최대 3만 하나머니, 제휴 주차장 무료 주차 월 2회 제공.', '공항라운지/PP': '전세계 공항 라운지 무료 이용(연 10회, 일 3회) 제공, 국내외겸용카드 소지자에 한함.', '기타 혜택(유의사항 등)': '- [PREMIUM VOUCHER] 특급호텔 숙박 1박 패키지 또는 해외/항공/면세/여행 60만원 청구 할인 제공 (연 1회).\n- [DINING VOUCHER] 특급호텔 레스토랑 20만원 현장 할인 제공 (연 1회).\n- [BONUS VOUCHER] 연 누적 이용금액에 따라 골프/프리미엄 아울렛 50% 청구 할인 제공.\n- [기본적립] 국내 가맹점 1.5%~1.0% 하나머니 적립.\n- [특별적립] 특정 영역에서 3.0% 하나머니 적립 제공. \n- [SPECIAL PLATE] 특수 소재 카드 신청 가능 (발급수수료 10만원).'}"
카카오뱅크 개인사업자 삼성카드,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/2420/card_img/28101/2420card.png,500000,"국내전용 [15,000]원 / 해외겸용 [15,000]원",신용,"{'비즈니스': '- 사업 필수 경비 5% 결제일 할인: 4대 사회보험, 전기요금, 주유, 전기차 충전요금, 할인점에서 제공.\n- 사업장 운영 경비 1.5% 결제일 할인: 이동통신, 인터넷·유선통신, 식자재몰, 렌탈, 방역, 보안 서비스에서 제공.', '기타 혜택(유의사항 등)': '온라인 간편결제, 커피전문점, 해외 결제 시 1.5% 할인, 국내 가맹점 1% 할인 제공.'}"
신한카드 The CLASSIC-Y,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/8/card_img/20090/8card.png,0,"해외겸용 [100,000]원",신용,"{'주유': 'GS칼텍스 주유 시 리터당 60원 할인, 월 30만원까지 적용.', '프리미엄': '국제브랜드사 서비스에 대한 상세 안내는 각 브랜드사 홈페이지를 참조해야 하며, 제공 내용은 상이할 수 있습니다.', '기타 혜택(유의사항 등)': 'The CLASSIC-Y 카드로 연회비 납부 후 매년 1회 선택 가능한 Gift Option 서비스 제공.'}"
zgm.휴가중카드,NH농협카드,https://d1c5n4ri2guedi.cloudfront.net/card/2464/card_img/28156/2464card.png,500000,"국내전용 [25,000]원 / 해외겸용 [25,000]원",신용,"{'공항라운지/PP': '전 세계 공항 라운지를 월 1회, 연 2회 무료 이용할 수 있으며, 전월 실적 40만원 이상 시 이용 가능.', '프리미엄': 'Mastercard Titanium/Platinum 선택 서비스 및 기본 서비스 제공.', '해외': '해외 이용액에 따라 2~5% NH포인트 적립, 전월실적에 따라 추가적립 가능.', '기타 혜택(유의사항 등)': '국내 모든 가맹점에서 0.5% NH포인트 기본적립, 항공권 및 면세점 업종에서 추가 0.5% 적립, 호텔스닷컴 이용 시 20% 즉시할인 제공, 여행자보험 무료 가입.'}"
현대카드Z everyday,현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2883/card_img/44419/2883card_1.png,500000,"국내전용 [20,000]원 / 해외겸용 [20,000]원",신용,"{'프리미엄': '메탈 플레이트 제공, 발급 수수료 10만원, 신청 후 평균 3주 소요.', '기타 혜택(유의사항 등)': '전월 이용 금액 50만원 이상 시 9개 영역에서 최대 5% 청구 할인 제공.'}"
HERITAGE Classic [스카이패스형],KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/2781/card_img/38287/2781card.png,500000,"국내전용 [157,000]원 / 해외겸용 [157,000]원",신용,"{'자동차/하이패스': '자동차 라이프 영역(주차/세차)에서 전월 이용실적 50만원 이상 시 10% 청구할인 제공.', '공항라운지/PP': '전세계 공항 라운지 연 3회 무료 이용(동반 1인 포함), 전월 50만원 이상 이용 시 제공.', '프리미엄': 'HERITAGE Classic(할인형) 카드 소지자는 Mastercard 및 JCB Platinum 서비스와 함께 국내공항 및 호텔 발레파킹 서비스, KB국민은행 거래 시 수수료 감면/면제, 무료 문자알림 서비스 등을 이용할 수 있습니다.', '기타 혜택(유의사항 등)': '대한항공 카드로 국내외 가맹점에서 1,500원당 1마일리지, 생활밀착 4개 영역 및 Flex 영역에서 1,500원당 2마일리지 적립 가능.'}"
신한카드 The BEST+,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/993/card_img/44119/993card.png,0,"해외겸용 [295,000]원",신용,"{'항공마일리지': '항공 마일리지 적립 서비스로, 전월 이용실적에 따라 특별적립 또는 기본적립이 제공되며, 스카이패스 또는 아시아나클럽 중 선택하여 마일리지를 적립할 수 있습니다.', '공항라운지/PP': 'The Lounge Members를 통해 전 세계 1,100여개 공항 라운지를 월 4회, 연 20회 무료 이용할 수 있습니다.', '프리미엄': '국제 브랜드사 서비스 제공 (플래티늄 등급 선택 시).', '기타 혜택(유의사항 등)': 'The BEST+ 카드 고객에게 매년 1회 호텔, 스파, 면세점 중 선택 가능한 23만원 상당의 Gift Option 제공.'}"
SKYPASS 롯데 아멕스카드,롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/432/card_img/30755/432card.png,0,"해외겸용 [20,000]원",신용,"{'기타 혜택(유의사항 등)': '대한항공 SKYPASS 카드로 국내 결제 1,000원당 1마일, 해외 결제 1,000원당 2마일 적립 가능.'}"
신한카드 Discount Plan,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/2836/card_img/41608/2836card.png,400000,"국내전용 [15,000]원 / 해외겸용 [15,000]원",신용,"{'교통': '교통 영역에서 주유, 카쉐어링, 택시 결제 시 각각 5% 할인, 월 최대 5회, 1회 5만원 한도.', '쇼핑': '쇼핑 영역에서 마트, 온라인쇼핑, 잡화에서 각각 일 1회, 월 5회까지 10% 할인 제공, 단 할인 한도는 5만원까지.', 'OTT/영화/문화': 'CGV, 롯데시네마에서 영화 예매 시 월 1회 5천원 할인 (1만 2천원 이상 결제 시).', '기타 혜택(유의사항 등)': '신한카드 할인 서비스는 다양한 영역에서 결제일 할인 혜택을 제공하며, 특정 조건에 따라 할인 한도가 다르게 적용됩니다.'}"
Mile1 하나카드,하나카드,https://d1c5n4ri2guedi.cloudfront.net/card/2572/card_img/30116/2572card.png,0,"국내전용 [20,000원] / 해외겸용 [20,000원]",신용,"{'항공마일리지': '항공마일리지 적립은 저비용항공사에서 1,500원당 45 UniMile, 해외 전가맹점에서 1,500원당 35 UniMile, 온라인 쇼핑에서 1,500원당 15 UniMile 적립 가능.', '공항라운지/PP': '인천공항 라운지 무료 입장 및 특정 항공사에서 초과 위탁수하물 5kg 무료 서비스 제공.', '프리미엄': 'UPI 플래티늄 서비스가 제공되는 국내외겸용카드입니다.', '기타 혜택(유의사항 등)': 'UniMile은 6개 저비용항공사에서 유료서비스 결제 시 사용할 수 있는 통합 포인트로, 전액 사용만 가능하며 유효기간은 5년이다.'}"
모니모A 카드,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/2631/card_img/31783/2631card.png,300000,"국내전용 [10,000]원 / 해외겸용 [10,000]원",신용,"{'카페/디저트': '스타벅스에서 5,000원 이상 결제 시 5,000원 할인, 월 1회 제공.', '기타 혜택(유의사항 등)': '모니모A 카드로 국내외 가맹점에서 0.5%/1% 모니머니 리워드를 적립하고, 보험 이용 시 추가 9% 적립, 생활 필수 영역에서 1% 추가 적립 혜택을 제공합니다.'}"
모니모카드,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/2349/card_img/28096/2349card.png,300000,"국내전용 [10,000원] / 해외겸용 [10,000원]",신용,"{'교통': '대중교통 및 택시 이용 시 10% 결제일 할인 제공, 월 할인한도 5,000원.', '기타 혜택(유의사항 등)': '- 선택형 옵션 서비스 1: 온라인패션·오늘의집 30% 할인 또는 스타벅스 50%, 교보문고·스트리밍 30% 할인 제공.\n- 선택형 옵션 서비스 2: 온라인쇼핑몰, 편의점·다이소·올리브영, 해외에서 각각 7% 할인 제공.\n- 생활: 이동통신요금·아파트 관리비 10% 할인 제공.\n- 배달앱: 배달의민족, 요기요, 쿠팡이츠에서 10% 할인 제공.'}"
MY S-OIL 삼성카드,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/2539/card_img/29505/2539card.png,300000,"국내전용 [20,000원] / 해외겸용 [20,000원]",신용,"{'주유': 'S-OIL 주유 시 10% 결제일 할인 제공, 전월 이용금액에 따라 월 할인 한도 차등 적용.', '카페/디저트': '스타벅스 드라이브스루에서 MY DT Pass로 결제 시 30% 할인(월 한도 5,000원, 전월 이용금액 30만원 이상 시 제공).', '자동차/하이패스': '고속도로 통행료 10% 결제일 할인, 월 할인한도 5,000원, 전월 이용금액 30만원 이상 시 제공.', '기타 혜택(유의사항 등)': '주차장과 대리운전 이용 시 10% 할인 제공, 월 할인한도 5,000원, 전월 이용금액 30만원 이상 시 적용.'}"
카카오뱅크 삼성카드,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/592/card_img/28060/592card.png,0,"국내전용 [7,000]원 / 해외겸용 [7,000]원",신용,"{'마트/편의점': '마트, 슈퍼마켓, 편의점에서 1% 할인 혜택 제공.', 'OTT/영화/문화': '넷플릭스, 웨이브, 멜론 20% 할인 및 CGV, 롯데시네마 5천원 할인 제공 (전월 이용금액 50만원 이상 시).', '기타 혜택(유의사항 등)': '국내외 온오프라인 가맹점 0.5% 할인, 커피 및 대중교통 5% 할인, 쇼핑 및 배달앱 3% 할인 (전월 이용금액 50만원 이상 시 제공).'}"
금융포인트리카드,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/578/card_img/21317/578card.png,0,"해외겸용 [5,000]원",신용,"{'기타 혜택(유의사항 등)': 'KB국민 금융포인트리카드는 결제 실적에 따라 0.5%~5%의 금융포인트를 적립하며, KB증권 거래 시 매매수수료의 5%를 추가 적립할 수 있습니다.'}"
신한카드 Simple Platinum#,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/21/card_img/32302/21card.png,300000,"해외겸용 [30,000]원",신용,"{'OTT/영화/문화': 'CGV, 메가박스에서 온라인 영화 예매 시 최대 3,000원 할인 제공.', '프리미엄': '프리미엄 카드 혜택: 인천공항 발렛파킹 무료(월 3회), 공항 내 무료 커피 및 레스토랑 할인, 특급호텔 레스토랑 및 객실 할인, 주요 패션/요식 거리 이용금액 2% 적립, 주차 후 무료주차 서비스 제공.', '기타 혜택(유의사항 등)': '국내외 가맹점 1% 캐시백, 생활밀착 가맹점에서 총 1.7% 캐시백, 서울랜드 50% 할인 제공.'}"
T나는혜택 삼성카드,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/2477/card_img/28409/2477card.png,300000,"국내전용 [20,000]원 / 해외겸용 [20,000]원",신용,"{'기타 혜택(유의사항 등)': '- SKT에서 단말기 구매 시 24개월 라이트할부 제공, 최소 10만원 이상 결제 시 이용 가능.\n- 통신요금 15,000원 이상 정기결제 시 전월 이용금액에 따라 월 최대 16,000원 할인.'}"
롯데백화점 롯데카드,롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/201/card_img/20421/201card.png,300000,"국내전용 [10,000]원 / 해외겸용 [15,000]원",신용,"{'기타 혜택(유의사항 등)': '롯데백화점에서 롯데카드로 결제 시, 지난달 실적에 따라 최대 15% 청구할인과 5% 현장할인을 받을 수 있습니다.'}"
American Express The Platinum Card®Edition2,현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2664/card_img/32408/2664card.png,500000,"해외겸용 [1,000,000]원",신용,"{'공항라운지/PP': '전 세계 공항 라운지 연 10회 무료 이용 및 공항 리무진/철도 티켓 연 12회 무료 제공.', '프리미엄': '- 본인 회원에게 메탈 플레이트 제공, 재발급 시 수수료 10만원 부과.\n- 인천국제공항 및 국내 특급호텔에서 월 5회 무료 발레파킹 제공, 전월 이용 금액 50만원 이상 시 적용.\n- 호텔 델리/레스토랑 및 패밀리 레스토랑에서 최대 3만원 할인, 전월 이용 금액 50만원 이상 시 제공.\n- 전 세계 1,100개 이상의 호텔에서 얼리 체크인, 조식 2인, 호텔 크레딧 100달러 등 혜택 제공.\n- Amex 브랜드 프리미엄 서비스인 PLATINUM ELITE 서비스 제공, 전월 이용 금액 50만원 이상 시 이용 가능.', '기타 혜택(유의사항 등)': '대상점에 따라 이용 금액 1,000원당 최대 5MR 적립, 연 1회 85만원 상당 바우처 제공.'}"
신협-신한카드 Hi-Point,신협,https://d1c5n4ri2guedi.cloudfront.net/card/1584/card_img/22633/1584card.png,0,"해외겸용 [8,000]원",신용,"{'주유': 'S-OIL 및 현대오일뱅크 주유 시 리터당 60원 마이신한포인트 적립, 월 2회, 주유금액 20만원까지.', '통신': 'SK텔레콤/KT/LG U+ 이동통신요금 자동이체 시 1.0~5.0% 포인트 적립, 월 10만원 한도.', '쇼핑': '롯데/현대백화점, 롯데마트/이마트/홈플러스/토이저러스, CJ오쇼핑/CJmall에서 1.0~5.0% 마이신한포인트 적립.', '기타 혜택(유의사항 등)': '전국 가맹점 0.2~2.0% 적립, 해외 가맹점 1.0~5.0% 적립, 신한금융투자 CMA 계좌 지정 시 0.2% 추가 적립, 다양한 할인 및 적립 혜택 제공.'}"
Easy link 티타늄카드,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/551/card_img/21256/551card.png,500000,"국내전용 [30,000]원 / 해외겸용 [32,000]원",신용,"{'통신': '통신요금 자동납부 시 전월실적 100만원 이상 이용 시 5천원 청구할인 제공.', 'OTT/영화/문화': '영화 3천원 청구할인 (전월실적 50만원 이상, 건당 1만원 이상 이용 시 월 1회 제공).', '프리미엄': '티타늄 서비스는 전월 이용실적 30만원 이상 시 공항/호텔 발레파킹 및 공항 라운지를 제공합니다.', '기타 혜택(유의사항 등)': '자동납부 2건 이상 시 5천원, 4건 이상 시 1만원 캐시백 제공.'}"
탄탄대로 Biz 카드,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/697/card_img/22171/697card.png,400000,"국내전용 [15,000]원 / 해외겸용 [15,000]원",신용,"{'기타 혜택(유의사항 등)': '- SK, GS칼텍스 주유소 리터당 100점 또는 130점 포인트리 적립, 대형할인점 및 인터넷쇼핑몰에서 10% 또는 20% 포인트리 적립.'}"
BC 바로 KaPick,BC 바로카드,https://d1c5n4ri2guedi.cloudfront.net/card/2724/card_img/36084/2724card.png,150000,"국내전용 [15,000]원 / 해외겸용 [15,000]원",신용,"{'쇼핑': '쇼픽 그룹에서 쿠팡, G마켓, 올리브영 등에서 7% 적립 혜택 제공.', '푸드': '푸드 카테고리에서 쇼픽 그룹 가맹점 이용 시 7% 적립.', '프리미엄': 'MasterCard Platinum 등급의 기본 서비스로 해외겸용 카드 사용 시 호텔/공항 발렛파킹 및 공항 라운지 입장이 제공되지 않음.', '해외': '해외 온/오프라인 결제 시 2% 적립.', '기타 혜택(유의사항 등)': '바로카드 Pick!에서 생픽 그룹으로 통신, 교통, 영화 분야에서 7% 적립 가능.'}"
THE iD. PLATINUM(포인트),삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/2460/card_img/28298/2460card.png,500000,"국내전용 [215,000]원 / 해외겸용 [220,000]원",신용,"{'카페/디저트': '스타벅스에서 10,000원 이상 결제 시 월 1회 3,000원 할인 제공, 전월 이용금액 50만원 이상 시 적용.', '공항라운지/PP': '국내외 공항 라운지 본인 이용 무료 혜택을 연 6회 제공하며, 전월 이용금액 50만원 이상 시 이용 가능.', '프리미엄': 'Mastercard WORLD 등급의 국제브랜드 서비스 제공.', '기타 혜택(유의사항 등)': '매년 5가지 기프트 중 1가지를 선택할 수 있으며, 카드 발급 첫 해 50만원, 이후 600만원 이상 이용 시 신청 가능.'}"
로얄블루1000카드 [SKYPASS],우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/1731/card_img/22383/1731card.png,0,"해외겸용 [1,000,000]원",신용,"{'주유': '현대오일뱅크와 에쓰오일 주유 시 60원/ℓ 청구 할인, 월 최대 30만원 한도.', '쇼핑': '국내 명품, 뷰티, 스파, 다이닝에서 5~20% 할인 혜택 제공, 전월 30만원 이상 이용 시 쿠폰북 제공.', '항공마일리지': '해외, 면세점, 항공사, 여행사 결제 시 대한항공형은 1,500원당 2 마일리지, 아시아나형은 1,000원당 2 마일리지 적립.', '공항라운지/PP': '전세계 600여 공항라운지 무료 이용이 가능한 Priority Pass 멤버십 카드 제공.', '프리미엄': '로얄블루 CONCIERGE 센터와 글로벌 CONCIERGE 서비스로 호텔, 공연, 레스토랑, 골프장 예약 및 정보 제공, VVIP 의전 서비스가 전월 30만원 이상 이용 시 제공됩니다.', '여행/숙박': '로얄블루1000카드는 국제선 항공권 9% 할인, 국내외 호텔 및 콘도 5~10% 할인, KTX 승차권 10% 할인, 제주도 렌터카 48H 무료 제공, 여행 관련 무료 보험 서비스, 해외여행 긴급 의료지원서비스를 제공합니다.', '기타 혜택(유의사항 등)': '로얄블루1000카드는 아시아지역 왕복항공권 업그레이드, 비즈니스 동반자 무료, 해외 동반 여행 할인, 골프 그린피 무료, 특급호텔 멤버십 및 숙박권 제공 등의 다양한 혜택을 연 1회 제공합니다.'}"
K-패스엔로카,롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/2799/card_img/39414/2799card.png,400000,"국내전용 [20,000]원 / 해외겸용 [20,000]원",신용,"{'교통': 'K-패스를 통해 대중교통비를 20%~53% 환급받을 수 있으며, 회원 등록이 필요합니다.', '기타 혜택(유의사항 등)': '대중교통 및 생활비 결제 시 최대 15% 할인 혜택 제공.'}"
I-어디로든 그린카드,IBK기업은행,https://d1c5n4ri2guedi.cloudfront.net/card/2610/card_img/31261/2610card.png,300000,"국내전용 [15,000]원",신용,"{'교통': '대중교통 이용 시 10% 적립, 월 최대 5천 포인트.', '카페/디저트': '커피전문점에서 10% 적립, 월 최대 5천 포인트.', '기타 혜택(유의사항 등)': '에코머니 포인트는 그린카드 이용 시 적립되며, 다양한 방법으로 사용 가능하다.'}"
마일리지 가온카드(대한항공),KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/113/card_img/20271/113card.png,0,"국내전용 [15,000]원 / 해외겸용 [20,000]원",신용,"{'항공마일리지': '국내 가맹점에서 1,500원당 1마일리지, 해외 가맹점 및 면세점에서 1,500원당 2마일리지 적립.', '기타 혜택(유의사항 등)': 'KB국민 마일리지 가온카드는 적립대상 가맹점에서 카드 이용 시 마일리지를 적립해줍니다.'}"
모바일엔디지로카,롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/2718/card_img/35577/2728card.png,400000,"국내전용 [20,000]원 / 해외겸용 [20,000]원",신용,"{'통신': 'SKT, KT, LG U+ 및 알뜰폰 월 최대 20,000원 결제일 할인 제공.', '기타 혜택(유의사항 등)': '모바일엔디지로카는 카드 발급 후 첫 달에 최대 20,000원 할인 혜택을 제공하며, 이동통신 요금 자동납부 시 결제일 할인 혜택이 있습니다.'}"
신한카드 Simple Plan+,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/2950/card_img/47445/2950card_1.png,0,"국내전용 [47,000]원 / 해외겸용 [50,000]원",신용,"{'기타 혜택(유의사항 등)': '국내 1.5%, 해외 2% 결제일 할인, 5만원 이상 국내 결제 시 2~3개월 무이자 할부, 가족카드 분기 150만원 이상 시 1만원 캐시백, 마트/병원/주유 3만원 이상 결제 시 최초 1회 3만원 캐시백 제공.'}"
신한카드 처음,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/2694/card_img/33709/2694card_1.png,300000,"국내전용 [15,000]원 / 해외겸용 [18,000]원",신용,"{'기타 혜택(유의사항 등)': '신한카드 처음은 음식점, 카페, 편의점, 온라인쇼핑에서 5% 적립, 생활, 여행, 패션에서 5% 적립, 통신, OTT, 멤버십에서 최대 20% 적립, 소비관리 보너스 적립 서비스로 계획소비와 즉시결제에서 포인트를 적립할 수 있습니다.'}"
카드의정석 MILEAGE SKYPASS,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/548/card_img/23980/0548card.png,500000,"국내전용 [39,000]원 / 해외겸용 [39,000]원",신용,"{'공항라운지/PP': '전 세계 공항라운지를 월 1회, 연 3회 무료 이용할 수 있으며, 전월 실적 50만원 이상 시 제공된다.', '기타 혜택(유의사항 등)': '대한항공 카드 이용 시 1,000원당 1마일 적립, 해외 일시불 시 추가 1마일 적립(월 2천 마일 한도).'}"
